slug,name,alternate_name,city,district,category,google_rating,price_level,specialty_coffee,desserts,late_night,family_friendly,group_friendly,work_friendly,parking,phone,hours_summary,editorial_summary,confidence,status,source_notes,sector,canonical_name_ar,canonical_name_en,short_address
ojn-coffee,كوفي أوجن,Ojn Coffee / Augen Coffee,بريدة,الريان,كافيه / مقهى,unknown,$$,yes,unknown,yes,unknown,yes,unknown,unknown,,مفتوح معظم الساعات,مقهى متخصص في القهوة مع أجواء حديثة وموقع في حي الريان,medium,discovered,Web search + Instagram | Specifically requested in research,cafes,كوفي أوجن,Ojn Coffee,شارع واقي بن الجاراح
sunrise-coffee,صن رايز,Sunrise Coffee,بريدة,المركز,كافيه / مقهى,unknown,$$,yes,unknown,yes,unknown,yes,unknown,yes,,5:00 AM - 1:00 PM و 4:30 PM - 12:00 AM,مقهى مشهور على شارع أبو بكر الصديق مع ساعات عمل مبكرة جداً,medium,discovered,Web search | Specifically requested in research,cafes,صن رايز,Sunrise Coffee,شارع أبو بكر الصديق
nord-cafe,نورد,Nord Cafe,بريدة,المركز,كافيه / مقهى,5,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح حتى الساعات الليلية,مقهى مقيّم 5/5 على TripAdvisor مع جودة عالية,high,discovered,Web search + TripAdvisor,cafes,نورد,Nord Cafe,مركز بريدة
tatly-cafe,تاتلي,Tatly Cafe,بريدة,المركز,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى حديث مع جلسات حديثة ومعروف بالمعجنات,medium,discovered,Web search + Instagram,cafes,تاتلي,Tatly Cafe,حي البساتين
ginovetti-cafe,جينوفيت,Ginovetti Cafe,بريدة,الصفراء,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى معروف بالمعجنات الأوروبية عالية الجودة,high,discovered,Web search | Instagram,cafes,جينوفيت,Ginovetti Cafe,حي الصفراء
qunish-cafe,قونيش,Qunish Cafe,بريدة,الصفراء,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى شهير على شارع الملك عبدالعزيز,high,discovered,Web search + Instagram,cafes,قونيش,Qunish Cafe,شارع الملك عبدالعزيز
kayan-avenues,كيان أفنيوز,Kayan Avenues,بريدة,المركز,مجمع تجاري,unknown,$$,unknown,unknown,yes,yes,yes,yes,yes,,مفتوح معظم الساعات,مجمع تجاري حديث على شارع البخاري يضم عدة كافيهات,high,discovered,Web search | Commercial complex,cafes,كيان أفنيوز,Kayan Avenues,شارع البخاري
rovan-complex,روڤان,Rovan Complex,بريدة,المركز,مجمع تجاري,unknown,$$,unknown,unknown,yes,yes,yes,yes,yes,,مفتوح معظم الساعات,مجمع تجاري يضم عدة مقاهي,medium,discovered,Web search | Commercial complex,cafes,روڤان,Rovan Complex,منطقة تجارية
dr-cafe,دكتور كافيه,Dr. CAFE COFFEE,بريدة,متعدد,كافيه / مقهى,4,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,سلسلة قهوة معروفة بفروع متعددة في السعودية,high,discovered,Web search | Chain,cafes,دكتور كافيه,Dr. CAFE COFFEE,متعدد الفروع
haven-cafe,هڤن,Haven Cafe,بريدة,قرطبة,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى حديث في حي قرطبة,medium,discovered,Web search,cafes,هڤن كافية,Haven Cafe,حي قرطبة
an-coffee,كوفي آن,An Coffee,بريدة,قرطبة,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى مع فروع متعددة في بريدة,medium,discovered,Web search,cafes,كوفي آن,An Coffee,حي قرطبة
hazza-cafe,حزة كافيه,Hazza Cafe,بريدة,قرطبة,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى معروف بفروع متعددة,medium,discovered,Web search,cafes,حزة كافيه,Hazza Cafe,حي قرطبة
raund-coffee,راوند,Raund Coffee,بريدة,السلطانة,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى في حي السلطانة,medium,discovered,Web search,cafes,راوند,Raund Coffee,حي السلطانة
balsam-afaq,بلسم الافق,Balsam Al-Afaq,بريدة,الآفاق,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى جديد في حي الآفاق,medium,discovered,Web search,cafes,بلسم الافق,Balsam Al-Afaq,حي الآفاق
