"slug","name","alternate_name","city","district","category","google_rating","google_reviews_count","price_level","work_friendly","group_friendly","late_night","family_friendly","indoor_seating","outdoor_seating","parking","specialty_coffee","desserts","official_instagram","phone","hours_summary","editorial_summary","confidence","status","last_verified_at","source_notes","sector","canonical_name_ar","canonical_name_en","short_address","branch_group","branch_label","reference_url","quietness","crowd_level","place_personality","best_visit_time","why_choose_it","not_for_whom","duplicate_of","archive_reason"
"samraa-cafe","سمراء كافيه","Samraa Cafe","بريدة","غير متحقق","كافيه / مقهى","4.0","4052","$$","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","","","مفتوح حتى 2:30 ص","اسم جماهيري معروف مع حضور قوي ومراجعات ضخمة، لكنه يحتاج تثبيت تفاصيل التجربة.","medium","partially_verified","2026-03-10","Google Maps + no confirmed official account | Cleaning pass: normalized garbled text where confidently recoverable","cafes","سمراء كافيه","Samraa Cafe","طريق أبو بكر الصديق","samraa-cafe","main","","low","high","اجتماعي وحيوي","قبل الذروة المسائية","حضور قوي ومراجعات ضخمة على محور معروف.","من يبحث عن هدوء عالٍ أو تجربة مختصة مؤكدة.","",""
"booq-roastery-cafe","مقهى ومحمصة بوق","Booq Roastery & Cafe","بريدة","النهضة","مقهى / محمصة","4.3","2239","غير متحقق","partial","yes","yes","unknown","unknown","unknown","unknown","yes","yes","https://www.instagram.com/pooq.sa/","","مفتوح حتى 3 ص","محمصة ومقهى ثقيل الوزن محليًا مع حضور واضح في السوق.","high","verified","2026-03-10","Google Maps direct URL + official Instagram + place panel | Cleaning pass: normalized garbled text where confidently recoverable","cafes","مقهى ومحمصة بوق","Booq Roastery & Cafe","طريق أبو بكر الصديق، حي النهضة، بريدة 52389","booq","nahdah","https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D9%88%D9%85%D8%AD%D9%85%D8%B5%D8%A9+%D8%A8%D9%88%D9%82%E2%80%AD/data=!4m7!3m6!1s0x157f5754be80d53b:0xc984f4dc49a84e17!8m2!3d26.4010867!4d43.9377844!16s%2Fg%2F11txrt_8vb!19sChIJO9WAvlRXfxURF06oSdz0hMk?authuser=0&hl=ar&rclk=1","medium","high","مختص وعملي","بعد الظهر أو بداية المساء","هوية محمصة + حضور محلي واضح + ثقل مراجعات.","من يريد هدوءًا عاليًا جدًا.","",""
"ramadi-lounge","رمادي لاونج","Ramadi Lounge","بريدة","النهضة","مقهى / لاونج","4.5","2986","$$","no","yes","yes","unknown","yes","unknown","unknown","unknown","yes","https://www.instagram.com/ramadilounge/?hl=ar","","مفتوح وقت التحقق","لاونج جماهيري بارز موجه أكثر للتجربة الاجتماعية الليلية.","high","verified","2026-03-10","Google Maps direct URL + official Instagram + rich result | Cleaning pass: normalized garbled text where confidently recoverable","cafes","رمادي لاونج","Ramadi Lounge","3161 طريق عثمان بن عفان، حي النهضة","ramadi-lounge","nahdah","https://www.google.com/maps/place/%D8%B1%D9%85%D9%80%D9%80%D9%80%D9%80%D8%A7%D8%AF%D9%8A+%D9%84%D8%A7%D9%88%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x157f57bf8197e215:0x1b38f49f4cd93ede!8m2!3d26.4078605!4d43.9272243!16s%2Fg%2F11rjl5rxfs!19sChIJFeKXgb9XfxUR3j7ZTJ_0OBs?authuser=0&hl=ar&rclk=1","low","high","اجتماعي ليلي","المساء المبكر","أجواء ليلية وحضور رسمي قوي.","من يريد مكان عمل هادئ.","",""
"canto-specialty-coffee-prince-sultan","كانتو للقهوة المختصة","Canto Specialty Coffee","بريدة","غير متحقق","مقهى / قهوة مختصة","4.7","1502","1–20 ر.س.","partial","yes","yes","unknown","unknown","unknown","unknown","yes","unknown","","","مفتوح حتى 4:30 ص","سجل فرع مستقل على طريق الأمير سلطان، لكن ربطه الرسمي ببقية فروع كانتو في بريدة ما زال غير محسوم.","medium","branch_conflict","2026-03-10","Google Maps direct URL; branch separated but no confirmed official account | Cleaning pass 2: retained as branch_conflict pending official branch map","cafes","كانتو للقهوة المختصة","Canto Specialty Coffee","طريق الأمير سلطان بن عبدالعزيز","canto-buraidah","prince-sultan","https://www.google.com/maps/place/%D9%83%D8%A7%D9%86%D8%AA%D9%88+%D9%84%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%B5%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x157f59584c800d95:0x719e208882c6da8f!8m2!3d26.3702207!4d43.9800096!16s%2Fg%2F11m_cyp5g9!19sChIJlQ2ATFhZfxURj9rGgoggnnE?authuser=0&hl=ar&rclk=1","medium","medium","مختص حديث","بعد العصر","اسم قوي في شريحة القهوة المختصة.","من يريد سجلًا نهائيًا بلا تعارض فروع.","",""
"ayl-cafe","أيل كافيه","Ayl Cafe","بريدة","البساتين","كافيه","4.7","1171","20–40 ر.س.","yes","yes","yes","partial","yes","unknown","unknown","unknown","yes","https://www.instagram.com/aylcfe/?hl=ar","","مفتوح وقت التحقق، وظهر أيضًا 4:00م - 2:00ص","كافيه عصري شرقي بريدة بحضور رقمي واضح وساعات مناسبة للمساء.","high","verified","2026-03-10","Google Maps direct URL + official Instagram + search snippet | Cleaning pass: normalized garbled text where confidently recoverable","cafes","أيل كافيه","Ayl Cafe","الطريق الدائري الداخلي - الضلع الشرقي، حي البساتين","ayl-cafe","bastatin","https://www.google.com/maps/place/%D8%A3%D9%8A%D9%84+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x157f59a3f8c51ccf:0x21bddc5bd6dd0be7!8m2!3d26.3288377!4d44.0108055!16s%2Fg%2F11p_34399h!19sChIJzxzF-KNZfxUR5wvd1lvcvSE?authuser=0&hl=ar&rclk=1","medium","medium","عصري ومرتب","بعد المغرب","حضور رسمي واضح وتقييم قوي.","من يحتاج قسم عوائل مكتملًا الآن.","",""
"nord-cafe","نورد كافية","Nord Cafe","بريدة","الريان","كافيه","4.5","896","20–40 ر.س.","yes","yes","yes","unknown","unknown","unknown","unknown","yes","yes","https://www.instagram.com/nordcafes/?hl=ar","0565155599","يوميًا 6am > 2am، والجمعة بعد صلاة الجمعة","كافيه منظم وواضح الهوية، يميل إلى الجمع بين القهوة المختصة والجلسة الهادئة.","high","verified","2026-03-10","Google Maps + official Instagram + phone + hours from official snippet | Cleaning pass: normalized garbled text where confidently recoverable","cafes","نورد كافية","Nord Cafe","حي الريان، بريدة","nord-cafe","rayan","https://www.google.com/maps/place/%D9%86%D9%88%D8%B1%D8%AF+%D9%83%D8%A7%D9%81%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x157f5714b7e7efbd:0xc8d6ba2494220d93!8m2!3d26.396662!4d43.9240054!16s%2Fg%2F11gd1wq_xy!19sChIJve_ntxRXfxURkw0ilCS61sg?authuser=0&hl=ar&rclk=1","high","medium","هادئ ومرتب","الصباح المتأخر أو المساء المبكر","معلومات رسمية أوضح من معظم السجلات.","من يريد لاونج اجتماعيًا صاخبًا.","",""
"vekt-cafe","فكت كافيه","Vekt Cafe","بريدة","غير متحقق","كافيه","4.7","824","1–20 ر.س.","partial","yes","yes","unknown","unknown","unknown","unknown","unknown","yes","","","مفتوح حتى 4:45 ص","قيمة قوية مقابل السعر ويستحق اهتمامًا تحريريًا واضحًا.","medium","partially_verified","2026-03-10","Google Maps direct URL only; no confirmed official account | Cleaning pass: normalized garbled text where confidently recoverable","cafes","فكت كافيه","Vekt Cafe","طريق الملك سلمان","vekt-cafe","king-salman","https://www.google.com/maps/place/%D9%81%D9%83%D8%AA+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%7C+Vekt+cafe%E2%80%AD/data=!4m7!3m6!1s0x157f5707b50a435d:0xba4730e52cdb336e!8m2!3d26.3960652!4d43.9365427!16s%2Fg%2F11vyf9zcv9!19sChIJXUMKtQdXfxURbjPbLOUwR7o?authuser=0&hl=ar&rclk=1","medium","medium","صغير ومحبوب","بعد العصر","قيمة سعرية قوية وتقييم مرتفع.","من يريد توثيقًا رسميًا كاملًا الآن.","",""
"adham-specialty-coffee","أدهم","أدهم | قهوة مختصة","بريدة","غير متحقق","كافيه / قهوة مختصة","4.6","686","20–40 ر.س.","yes","yes","yes","unknown","unknown","unknown","unknown","yes","yes","","","مفتوح حتى 4:30 ص","مكان مختص واعد ويميل للهدوء أكثر من الكافيهات الجماهيرية.","medium","partially_verified","2026-03-10","Google Maps direct URL + review summary; no official source confirmed | Cleaning pass: normalized garbled text where confidently recoverable","cafes","أدهم","Adham Specialty Coffee","طريق الملك خالد","adham-specialty-coffee","king-khalid","https://www.google.com/maps/place/%D8%A3%D8%AF%D9%87%D9%85+%7C+%D9%82%D9%87%D9%88%D8%A9+%D9%85%D8%AE%D8%AA%D8%B5%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x157f59503dc7d065:0xdfca6033b7d0b4f3!8m2!3d26.364522!4d43.9668487!16s%2Fg%2F11pzrmfjld!19sChIJZdDHPVBZfxUR87TQtzNgyt8?authuser=0&hl=ar&rclk=1","high","medium","مختص هادئ","الصباح أو أول المساء","مرشح جيد للعمل والقهوة المختصة.","من يريد حضورًا اجتماعيًا صاخبًا.","",""
"canto-abu-bakr","كانتو","كانتو / CANTO","بريدة","غير متحقق","مقهى","4.8","860","1–20 ر.س.","partial","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","","","مفتوح على مدار الساعة","فرع أبو بكر يبدو جزءًا من شبكة فروع كانتو داخل بريدة، لكن التعيين الرسمي النهائي ما زال غير محسوم.","medium","branch_conflict","2026-03-10","Google Maps direct URL; branch separated but official mapping unresolved | Cleaning pass 2: normalized branch naming and retained as branch_conflict","cafes","كانتو","CANTO","طريق أبو بكر الصديق","canto-buraidah","abu-bakr","https://www.google.com/maps/place/CANTO/data=!4m7!3m6!1s0x157f579d6a8e8eed:0x8faca81075449a3a!8m2!3d26.4022144!4d43.937257!16s%2Fg%2F11lk9t2jxn!19sChIJ7Y6Oap1XfxUROppEdRCorI8?authuser=0&hl=ar&rclk=1","medium","medium","حديث وممتد الساعات","خارج الذروة الليلية","24 ساعة وتقييم مرتفع.","من يريد حسم العلامة الرسمية الآن.","",""
"yol-cafe","يول","YOL","بريدة","غير متحقق","كافيه","4.0","1558","غير متحقق","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","yes","","","مفتوح حتى 3 ص","كافيه جماهيري مشهور أكثر من كونه مختصًا بوضوح.","medium","partially_verified","2026-03-10","Google Maps direct URL | Cleaning pass: normalized garbled text where confidently recoverable","cafes","يول","YOL","طريق عثمان بن عفان","yol-cafe","uthman-bin-affan","https://www.google.com/maps/place/%D9%8A%D9%88%D9%84+%7C+YOL%E2%80%AD/data=!4m7!3m6!1s0x157f57439fc5a225:0x89603e25cdfa8b12!8m2!3d26.407839!4d43.9273324!16s%2Fg%2F11p0_gcsn3!19sChIJJaLFn0NXfxUREov6zSU-YIk?authuser=0&hl=ar&rclk=1","low","high","جماهيري معروف","قبل الذروة","شهرة عالية ومراجعات كثيرة.","من يبحث عن هدوء عالٍ.","",""
